"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-921614964079013","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/19/21","12:19 PM","64.00","0","0.00","6.05","0","70.05","-3.20","-6.40","-2.28","-6.05","-5.00"
"O-864714928757667","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/15/21","12:23 PM","31.00","0","0.00","3.18","0","34.18","-4.65","0","-1.34","-3.18","0"
"O-643915062355495","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/28/21","6:15 PM","17.00","0","0.00","1.74","0","18.74","-0.85","-1.70","-0.87","-1.74","0"
"O-615215032764984","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/26/21","12:00 PM","15.00","0","0.00","1.03","0","16.03","-0.75","-1.50","-0.64","-1.03","-5.00"
"O-055914793673350","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/2/21","11:56 AM","11.00","0","0.00","1.13","0","12.13","-1.65","0","-0.67","-1.13","0"
"O-873515051288565","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/28/21","12:00 PM","11.00","0","0.00","1.13","0","12.13","-0.55","-1.10","-0.67","-1.13","0"
"O-069214792134197","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/2/21","12:09 PM","11.00","0","0.00","1.13","0","12.13","-0.55","-1.10","-0.67","-1.13","0"
"O-461814976612027","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/20/21","1:15 PM","12.00","0","0.00","1.23","0","13.23","-0.60","-1.20","-0.70","-1.23","0"
"O-424614903716866","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/13/21","1:05 PM","24.50","0","0.00","2.51","0","27.01","-1.23","-2.45","-1.12","-2.51","0"
"O-303115031918053","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/26/21","12:59 PM","18.75","0","0.00","1.92","0","20.67","-0.94","-1.88","-0.88","-1.92","-1.49"
"O-947315063193972","The Berliner Doner Kebab - 428 Westlake Ave N","Adjustment of O-947315063193972","Merchant did not confirm this order.","4/29/21","12:00 PM","-22.00","0","0.00","-2.26","0","-24.26","1.10","2.20","1.04","2.26","0"
"O-903015057258662","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/28/21","1:03 PM","12.50","0","0.00","1.28","0","13.78","-1.88","0","-0.72","-1.28","0"
"O-838715075662778","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/30/21","1:08 PM","14.50","0","0.00","1.49","5.00","20.99","-2.18","0","-0.94","-1.49","0"
"O-200714890590626","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/12/21","11:58 AM","41.00","0","0.00","3.38","0","44.38","-2.05","-4.10","-1.41","-3.38","-8.00"
"O-385215069364638","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/29/21","1:28 PM","31.50","0","0.00","3.23","0","34.73","-1.58","-3.15","-1.36","-3.23","0"
"O-496415055135985","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/28/21","2:30 PM","14.00","0","0.00","1.44","2.32","17.76","-2.10","0","-0.84","-1.44","0"
"O-185015079789152","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/30/21","3:39 PM","24.00","0","0.00","2.46","0","26.46","-1.20","-2.40","-1.11","-2.46","0"
"O-744214831520352","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/6/21","12:52 PM","15.00","0","0.00","1.03","0","16.03","-0.75","-1.50","-0.64","-1.03","-5.00"
"O-919514998553442","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/22/21","12:49 PM","23.00","0","0.00","1.85","0","24.85","-1.15","-2.30","-0.91","-1.85","-5.00"
"O-385215079315143","The Berliner Doner Kebab - 428 Westlake Ave N","Adjustment of O-385215079315143","Restaurant Closed","4/30/21","5:55 PM","-11.00","0","0.00","-1.13","-1.21","-13.34","1.65","0","0.71","1.13","0"
"O-434714861155746","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/9/21","1:11 PM","24.00","0","0.00","1.95","0","25.95","-1.20","-2.40","-0.94","-1.95","-5.00"
"O-919515048557623","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/27/21","12:50 PM","13.00","0","0.00","1.33","0","14.33","-1.95","0","-0.74","-1.33","0"
"O-740315065114598","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/29/21","12:18 PM","15.00","0","0.00","1.03","0","16.03","-0.75","-1.50","-0.64","-1.03","-5.00"
"O-724314828372369","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/5/21","11:47 AM","12.00","0","0.00","1.23","1.98","15.21","-1.80","0","-0.76","-1.23","0"
"O-471414919123518","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/14/21","1:04 PM","15.50","0","0.00","1.08","0","16.58","-0.78","-1.55","-0.65","-1.08","-5.00"
"O-185214935615541","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/16/21","2:51 PM","28.00","0","0.00","2.36","0","30.36","-1.40","-2.80","-1.07","-2.36","-5.00"
"O-247114993294222","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/21/21","8:30 PM","11.00","0","0.00","1.13","0","12.13","-0.55","-1.10","-0.67","-1.13","0"
"W-366614795002250","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/1/21","6:52 PM","20.00","0","0.00","2.05","0","22.05","-1.00","-2.00","-0.82","-2.05","-4.99"
"O-054414932372421","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/15/21","7:48 PM","23.00","0","0.00","2.36","0","25.36","-1.15","-2.30","-1.07","-2.36","0"
"O-247114973222746","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/20/21","12:17 PM","23.00","0","0.00","2.36","1.00","26.36","-3.45","0","-1.10","-2.36","0"
"O-201214901382742","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/13/21","12:07 PM","11.00","0","0.00","1.13","0.87","13.00","-1.65","0","-0.70","-1.13","0"
"O-069214782130917","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/1/21","12:37 PM","31.00","0","0.00","3.18","0","34.18","-1.55","-3.10","-1.22","-3.18","-3.99"
"O-014114929034954","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/14/21","5:37 PM","12.00","0","0.00","1.23","1.98","15.21","-1.80","0","-0.76","-1.23","0"
"O-899315016558557","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/23/21","5:59 PM","11.00","0","0.00","1.13","0","12.13","-0.55","-1.10","-0.67","-1.13","0"
"O-899314966559990","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/19/21","12:45 PM","11.00","0","0.00","1.13","2.42","14.55","-1.65","0","-0.74","-1.13","0"
"O-756214860460342","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/8/21","5:33 PM","12.00","0","0.00","1.23","0","13.23","-1.80","0","-0.70","-1.23","0"
