Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %
The Berliner Doner Kebab,,#3F88D,2b101b72-e88d-4e3d-9db0-f4a5b5e3f88d,Delivery - Partner Using Uber App,iOS,Completed,2021-05-11,12:13,16,1.63,17.63,0,0,0,0,0,0,0,0,17.63,-2.4,0,0,0,0,0,,0,-1.63,0,13.6,2021-05-17,0,0,15
The Berliner Doner Kebab,,#6CA62,69e5887c-1ec3-4867-9abd-61f994b6ca62,Delivery - Partner Using Uber App,iOS,Completed,2021-05-12,11:14,24,2.46,26.46,0,0,0,0,0,0,0,0,26.46,-3.6,0,0,0,0,0,,0,-2.46,0,20.4,2021-05-17,0,0,15
The Berliner Doner Kebab,,#FAC45,912adccb-95ed-438d-86cb-adecf08fac45,Delivery - Partner Using Uber App,iOS,Completed,2021-05-12,11:39,10,1.03,11.03,0,0,0,0,0,0,0,0,11.03,-1.5,0,0,0,0,0,,0,-1.03,0,8.5,2021-05-17,0,0,15
The Berliner Doner Kebab,,#0E3E3,ffc701a3-dc43-4042-96a2-0b58a710e3e3,Delivery - Partner Using Uber App,iOS,Completed,2021-05-12,11:33,11,1.13,12.13,0,0,0,0,0,0,0,0,12.13,-1.65,0,0,0,0,0,,0,-1.13,0,9.35,2021-05-17,0,0,15
The Berliner Doner Kebab,,#D42BD,58492cf9-4092-415a-a712-1830dafd42bd,Delivery - Partner Using Uber App,Android,Completed,2021-05-12,11:41,21,2.16,23.16,0,0,0,0,0,0,0,0,23.16,-3.15,0,0,0,0,0,,0,-2.16,0,17.85,2021-05-17,0,0,15
The Berliner Doner Kebab,,#83658,14603d73-6eb4-4341-8d7c-6c5260783658,Delivery - Partner Using Uber App,iOS,Completed,2021-05-12,12:09,27,2.77,29.77,0,0,0,0,0,0,0,0,29.77,-4.05,0,0,0,0,0,,0,-2.77,0,22.95,2021-05-17,0,0,15
The Berliner Doner Kebab,,#82F29,635301a7-7555-4276-bc00-432994b82f29,Pickup,Uber Eats Web,Completed,2021-05-12,12:42,12,1.23,13.23,0,0,0,0,0,0,0,0,13.23,0,0,0,0,0,0,,0,-1.23,0,12,2021-05-17,0,0,
The Berliner Doner Kebab,,#9467E,21f06d5a-791c-4236-bdb9-e25d6d39467e,Delivery - Partner Using Uber App,iOS,Completed,2021-05-12,15:57,23,2.36,25.36,0,0,0,0,0,0,0,0,25.36,-3.45,0,0,0,0,0,,0,-2.36,0,19.55,2021-05-17,0,0,15
The Berliner Doner Kebab,,#7BEA9,125701eb-03b8-4778-8511-c4a36cf7bea9,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-05-13,12:08,23,2.36,25.36,0,0,0,0,0,0,0,0,25.36,-3.45,0,0,0,0,0,,0,-2.36,0,19.55,2021-05-17,0,0,15
The Berliner Doner Kebab,,#C7E90,b30934b7-7cb3-43fe-be2e-7a08cbbc7e90,Delivery - Partner Using Uber App,iOS,Completed,2021-05-13,12:29,17.25,1.78,19.03,0,0,0,0,0,0,0,0,19.03,-2.59,0,0,0,0,0,,0,-1.78,0,14.66,2021-05-17,0,0,15
The Berliner Doner Kebab,,#E2920,f21cd1cb-708f-4b90-bd39-4b6189de2920,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-05-13,12:27,71,7.27,78.27,0,0,0,0,0,0,0,0,78.27,-10.65,0,0,0,0,0,,0,-7.27,0,60.35,2021-05-17,0,0,15
The Berliner Doner Kebab,,#43C92,485e9bec-5d5a-45e2-817f-f22ddf343c92,Delivery - Partner Using Uber App,iOS,Completed,2021-05-13,12:13,24,2.47,26.47,0,0,0,0,0,0,0,0,26.47,-3.6,0,0,0,0,0,,0,-2.47,0,20.4,2021-05-17,0,0,15
The Berliner Doner Kebab,,#5CC11,60dea9c5-759e-414e-8dcb-91dd8f35cc11,Pickup,iOS,Completed,2021-05-13,12:41,11,1.13,12.13,0,0,0,0,0,0,0,0,12.13,0,0,0,0,0,0,,0,-1.13,0,11,2021-05-17,0,0,
The Berliner Doner Kebab,,#EF1E8,ae2b285d-4951-4fa9-9e0f-a1972b3ef1e8,Pickup,iOS,Completed,2021-05-13,12:41,12,1.23,13.23,0,0,0,0,0,0,0,0,13.23,0,0,0,0,0,0,,0,-1.23,0,12,2021-05-17,0,0,
The Berliner Doner Kebab,,#E9734,0ead65ee-222c-4026-8ad5-d109befe9734,Delivery - Partner Using Uber App,iOS,Completed,2021-05-13,14:02,15.25,1.57,16.82,0,0,0,0,0,0,0,0,16.82,-2.29,0,0,0,0,0,,0,-1.57,0,12.96,2021-05-17,0,0,15
The Berliner Doner Kebab,,#70392,de6adb96-cea2-46e4-9533-b4a73a770392,Delivery - Partner Using Uber App,iOS,Completed,2021-05-13,14:28,13,1.34,14.34,0,0,0,0,0,0,0,0,14.34,-1.95,0,0,0,0,0,,0,-1.34,0,11.05,2021-05-17,0,0,15
The Berliner Doner Kebab,,#29537,c2bd8494-d8b9-4125-a3b0-be3124a29537,Delivery - Partner Using Uber App,Android,Completed,2021-05-13,16:47,26.25,2.69,28.94,0,0,0,0,0,0,0,0,28.94,-3.94,0,0,0,0,0,,0,-2.69,0,22.31,2021-05-17,0,0,15
The Berliner Doner Kebab,,#CCC7C,d05d2b6a-f417-487e-8ee4-a2b2120ccc7c,Pickup,iOS,Completed,2021-05-13,16:23,22,2.26,24.26,0,0,0,0,0,0,0,0,24.26,0,0,0,0,0,0,,0,-2.26,0,22,2021-05-17,0,0,
The Berliner Doner Kebab,,#3F269,92d7362e-91fc-467b-9e70-5adba8f3f269,Delivery - Partner Using Uber App,iOS,Completed,2021-05-13,18:24,37,3.8,40.8,0,0,0,0,0,0,0,0,40.8,-5.55,0,0,0,0,0,,0,-3.8,0,31.45,2021-05-17,0,0,15
The Berliner Doner Kebab,,#B2345,8785a55e-a73b-42c5-a102-f40e390b2345,Delivery - Partner Using Uber App,iOS,Completed,2021-05-13,19:28,28,2.88,30.88,0,0,0,0,0,0,0,0,30.88,-4.2,0,0,0,0,0,,0,-2.88,0,23.8,2021-05-17,0,0,15
The Berliner Doner Kebab,,#9B9D0,f904b157-5b15-4c88-985b-d527a349b9d0,Delivery - Partner Using Uber App,iOS,Completed,2021-05-13,19:44,11,1.13,12.13,0,0,0,0,0,0,0,0,12.13,-1.65,0,0,0,0,0,,0,-1.13,0,9.35,2021-05-17,0,0,15
The Berliner Doner Kebab,,#D819F,599c7bb3-dc50-4d1e-9be6-513c2bdd819f,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-05-14,11:17,16.25,1,17.25,0,0,-13,-0.67,0,0,0,0,17.25,-0.49,0,0,0,0,0,,0,-0.33,0,2.76,2021-05-17,0,0,15
The Berliner Doner Kebab,,#62C0B,8c9a3938-2169-4a2a-97e7-b3fb71b62c0b,Delivery - Partner Using Uber App,iOS,Completed,2021-05-14,12:25,15.25,1.57,16.82,0,0,0,0,0,0,0,0,16.82,-2.29,0,0,0,0,0,,0,-1.57,0,12.96,2021-05-17,0,0,15
The Berliner Doner Kebab,,#F304C,a4a5c7d6-33b9-4878-aab8-e011699f304c,Pickup,iOS,Completed,2021-05-14,11:48,12,1.23,13.23,0,0,0,0,0,0,0,0,13.23,0,0,0,0,0,0,,0,-1.23,0,12,2021-05-17,0,0,
The Berliner Doner Kebab,,#46BFA,60452ab4-b95c-479c-b328-e4e94b446bfa,Delivery - Partner Using Uber App,iOS,Completed,2021-05-14,13:04,12,1.23,13.23,0,0,0,0,0,0,0,0,13.23,-1.8,0,0,0,0,0,,0,-1.23,0,10.2,2021-05-17,0,0,15
The Berliner Doner Kebab,,#D5C9D,5c353c96-eb4e-4084-82e3-749d809d5c9d,Delivery - Partner Using Uber App,iOS,Completed,2021-05-14,13:36,15.25,0.29,15.54,0,0,-13,-0.06,0,0,0,0,15.54,-0.34,0,0,0,0,0,,0,-0.23,0,1.91,2021-05-17,0,0,15
The Berliner Doner Kebab,,#3BD8A,20da62f1-0f56-45cc-bbd4-06238ce3bd8a,Delivery - Partner Using Uber App,iOS,Completed,2021-05-14,15:00,20,2.06,22.06,0,0,0,0,0,0,0,0,22.06,-3,0,0,0,0,0,,0,-2.06,0,17,2021-05-17,0,0,15
The Berliner Doner Kebab,,#D6B00,159c5ef2-111f-4f85-b36d-a527220d6b00,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-05-14,15:48,23,2.36,25.36,0,0,0,0,0,0,0,0,25.36,-3.45,0,0,0,0,0,,0,-2.36,0,19.55,2021-05-17,0,0,15
